M,threads,N,wall_s,kernel_s_max,approx,error,pass
1,32,100000000,0.051812519,0.043863071,2.056167583560192e+00,9.059420e-14,yes
1,64,100000000,0.017765396,0.015259584,2.056167583560336e+00,5.284662e-14,yes
1,128,100000000,0.019082636,0.017058945,2.056167583560266e+00,1.731948e-14,yes
1,256,100000000,0.009448693,0.008738112,2.056167583560310e+00,2.708944e-14,yes
1,512,100000000,0.015872823,0.014401824,2.056167583560296e+00,1.332268e-14,yes
1,1024,100000000,0.011913071,0.011177888,2.056167583560297e+00,1.376677e-14,yes
2,32,100000000,0.012233483,0.010920416,2.056167583560292e+00,8.881784e-15,yes
2,64,100000000,0.013616305,0.012225856,2.056167583560270e+00,1.332268e-14,yes
2,128,100000000,0.018094642,0.015455648,2.056167583560298e+00,1.509903e-14,yes
2,256,100000000,0.009060901,0.007902592,2.056167583560286e+00,2.664535e-15,yes
2,512,100000000,0.017569723,0.016023071,2.056167583560292e+00,8.881784e-15,yes
2,1024,100000000,0.008147853,0.007781568,2.056167583560284e+00,4.440892e-16,yes
4,32,100000000,0.045479958,0.041117279,2.056167583560293e+00,9.769963e-15,yes
4,64,100000000,0.009820147,0.009109696,2.056167583560282e+00,8.881784e-16,yes
4,128,100000000,0.008787704,0.007950976,2.056167583560289e+00,6.217249e-15,yes
4,256,100000000,0.056498548,0.049670338,2.056167583560284e+00,1.332268e-15,yes
4,512,100000000,0.020027619,0.012772352,2.056167583560294e+00,1.065814e-14,yes
4,1024,100000000,0.053087531,0.046631809,2.056167583560280e+00,2.664535e-15,yes
8,32,100000000,0.096972798,0.089410370,2.056167583560292e+00,8.437695e-15,yes
8,64,100000000,0.054709848,0.049298943,2.056167583560275e+00,8.437695e-15,yes
8,128,100000000,0.101175378,0.097259521,2.056167583560276e+00,7.105427e-15,yes
8,256,100000000,0.118050079,0.115850914,2.056167583560284e+00,1.332268e-15,yes
8,512,100000000,0.101983788,0.094346947,2.056167583560288e+00,4.440892e-15,yes
8,1024,100000000,0.084380663,0.081126877,2.056167583560282e+00,1.332268e-15,yes
